,Unnamed: 0,firm,kiscode,kiscode_tf
53,53,농업회사법인그린투모로우(주),F13001,16013001
54,54,드림라인쏠라파워5호(주),IR2067,1902902067
55,55,석문호수상태양광(주),IZ1042,1903801042
56,56,영암해오름태양광(주),J66154,21066154
57,57,티지솔라넷(주),L96411,23096411
58,58,한마을태양광(주),IV9200,1903409200
59,59,한으뜸태양광(주),IX4990,1903604990
60,60,한화솔라파워글로벌(주),IV8198,1903408198
61,61,(주)데이터애널리틱스랩,JD9754,2101409754
62,62,(주)워터솔라,HK6561,1802206561
63,63,(주)원오원글로벌,HV9598,1803409598
64,64,드림라인쏠라파워4호(주),IP8907,1902708907
65,65,양주에코텍(주),G86721,17086721
66,66,에이치글로벌파트너스(유),M28068,24028068
67,67,해나라태양광(주),IR3303,1902903303
68,68,해돋이태양광(주),IR2747,1902902747
69,69,엔에이치엘개발(주),390659,390659
70,70,한화인베스트먼트(주),136801,136801
71,71,(주)드림플러스프로덕션,E85681,15085681
72,72,해넘이태양광(주),IT4190,1903204190
73,73,해누리태양광(주),IR2763,1902902763
74,74,(주)한화금융에셋,M39796,24039796
0,0,엘에스일렉트릭(주),388696,388696
1,1,가온전선(주),380342,380342
2,2,(주)E1,620025,620025
3,3,(주)LS네트웍스,610356,610356
4,4,(주)LS,380377,380377
5,5,(주)예스코홀딩스,400017,400017
6,6,엘에스전선아시아(주),HD5933,1801405933
7,7,엘에스전선(주),C17566,13017566
8,8,엘에스엠트론(주),C17572,13017572
9,9,엘에스오토모티브테크놀로지스(주),IS9394,1903109394
10,10,엘에스니꼬동제련(주),109492,109492
11,11,(주)예스코,JB2349,2101202349
12,12,엘에스메탈(주),F13282,16013282
13,13,(주)지앤피,371076,371076
14,14,(주)예스코이에스,125564,125564
15,15,엘에스메카피온(주),023872,23872
16,16,엘에스글로벌인코퍼레이티드(주),388748,388748
17,17,(주)베스트토요타,J17432,21017432
18,18,엘에스빌드윈(주),118365,118365
19,19,(주)지알엠,C17341,13017341
20,20,쿠퍼스탠다드오토모티브앤인더스트리얼(주),JF5066,2101605066
21,21,(주)이원컨테이너터미널,490606,490606
22,22,엘에스이브이코리아(주),IV6874,1903406874
23,23,캐스코(주),376093,376093
24,24,(주)선우,124618,124618
25,25,(주)대한가스기기,657905,657905
26,26,엘에스알스코(주),JG6940,2101706940
27,27,(주)모보,168530,168530
28,28,(주)토리컴,118893,118893
29,29,한성피씨건설(주),C87348,13087348
30,30,(주)엠비케이코퍼레이션,IG0359,1901700359
31,31,온산탱크터미널(주),F14857,16014857
32,32,(주)한성플랜지,C78187,13078187
33,33,엘에스아이앤디(주),L38995,23038995
34,34,씨에스마린(주),H80953,18080953
35,35,(주)예스코컨설팅,IZ0157,1903800157
36,36,엘에스에이홀딩스(주),IS7468,1903107468
37,37,신대성전기(주),381748,381748
38,38,(주)흥업,614092,614092
39,39,엘에스사우타(주),780448,780448
40,40,(주)케이제이모터라드,495469,495469
41,41,(주)이원물류,085117,85117
42,42,(주)스포츠모터사이클코리아,C94562,13094562
43,43,(주)바이클로,HQ2781,1802802781
44,44,제이에스전선(주),380512,380512
45,45,(주)농가온,F03701,16003701
46,46,(주)넥스포쏠라,IU1093,1903301093
47,47,(유)빌드윈문경태양광발전,JJ5268,2102105268
48,48,(유)빌드윈인동태양광발전,JJ5267,2102105267
49,49,(주)넥스포에너지,IU1092,1903301092
50,50,동방도시가스산업(주),228104,228104
51,51,(주)한성,502022,502022
52,52,(주)예스코서비스,031686,31686
0,0,에이치디씨현대산업개발(주),JC3042,2101303042
1,1,에이치디씨현대이피(주),133416,133416
2,2,에이치디씨아이콘트롤스(주),119266,119266
3,3,에이치디씨(주),500526,500526
