,소속회사명1,소속회사명2,동일인과의 관계1,동일인과의 관계2,성명,보통주 주식수,보통주 지분율,우선주 주식수,우선주 지분율,합계 주식수,합계 지분율,동일인과의 관계3,divisor,shares,type,type2,own,own2,ownername
131,비금융회사,케이디리빙,총계,총계,총계,200000,100.00%,-,-,200000.0,100.00%,총계,200000.0,1.0,50,50,,,
132,비금융회사,케이티샛,동일인측,동일인,케이티,10000000,100.00%,-,-,10000000.0,100.00%,동일인,10000000.0,1.0,0,0,1.0,1.0,
133,비금융회사,케이티샛,동일인측,동일인 측 합계,동일인 측 합계,10000000,100.00%,-,,10000000.0,100.00%,동일인 측 합계,10000000.0,1.0,50,50,,,
134,비금융회사,케이티샛,기타주주,기타,기타,-,-,-,-,,-,기타,10000000.0,,99,99,0.0,0.0,
135,비금융회사,케이티샛,총계,총계,총계,10000000,100.00%,-,-,10000000.0,100.00%,총계,10000000.0,1.0,50,50,,,
136,비금융회사,케이티스포츠,동일인측,동일인,케이티,1320000,66.00%,-,-,1320000.0,66.00%,동일인,2000000.0,0.66,0,0,0.66,0.66,
137,비금융회사,케이티스포츠,동일인측,계열회사,케이티씨에스,120000,6.00%,-,-,120000.0,6.00%,계열회사,2000000.0,0.06,1,1,0.06,0.06,케이티씨에스
138,비금융회사,케이티스포츠,동일인측,계열회사,케이티아이에스,120000,6.00%,-,-,120000.0,6.00%,계열회사,2000000.0,0.06,1,1,0.06,0.06,케이티아이에스
139,비금융회사,케이티스포츠,동일인측,계열회사,케이티스카이라이프,360000,18.00%,-,-,360000.0,18.00%,계열회사,2000000.0,0.18,1,1,0.18,0.18,케이티스카이라이프
140,비금융회사,케이티스포츠,동일인측,계열회사,비씨카드,80000,4.00%,-,-,80000.0,4.00%,계열회사,2000000.0,0.04,1,1,0.04,0.04,비씨카드
141,비금융회사,케이티스포츠,동일인측,동일인 측 합계,동일인 측 합계,2000000,100.00%,-,-,2000000.0,100.00%,동일인 측 합계,2000000.0,1.0,50,50,,,
142,비금융회사,케이티스포츠,기타주주,기타,기타,-,-,-,-,,-,기타,2000000.0,,99,99,0.0,0.0,
143,비금융회사,케이티스포츠,총계,총계,총계,2000000,100.00%,-,-,2000000.0,100.00%,총계,2000000.0,1.0,50,50,,,
144,비금융회사,오토피온,동일인측,동일인,케이티,400000,100.00%,-,-,400000.0,100.00%,동일인,400000.0,1.0,0,0,1.0,1.0,
145,비금융회사,오토피온,동일인측,동일인 측 합계,동일인 측 합계,400000,100.00%,-,-,400000.0,100.00%,동일인 측 합계,400000.0,1.0,50,50,,,
146,비금융회사,오토피온,기타주주,기타,기타,-,-,-,-,,-,기타,400000.0,,99,99,0.0,0.0,
147,비금융회사,오토피온,총계,총계,총계,400000,100.00%,-,-,400000.0,100.00%,총계,400000.0,1.0,50,50,,,
148,비금융회사,케이티엠모바일,동일인측,동일인,케이티,40000000,100.00%,-,-,40000000.0,100.00%,동일인,40000000.0,1.0,0,0,1.0,1.0,
149,비금융회사,케이티엠모바일,동일인측,동일인 측 합계,동일인 측 합계,40000000,100.00%,-,-,40000000.0,100.00%,동일인 측 합계,40000000.0,1.0,50,50,,,
150,비금융회사,케이티엠모바일,기타주주,기타,기타,-,-,-,-,,-,기타,40000000.0,,99,99,0.0,0.0,
151,비금융회사,케이티엠모바일,총 계,총 계,총 계,40000000,100.00%,-,-,40000000.0,100.00%,총 계,40000000.0,1.0,50,50,,,
152,비금융회사, 케이티서비스 북부,동일인측,동일인,케이티,476094,67.31%,-,-,476094.0,67.31%,동일인,707285.0,0.6731289367086818,0,0,0.6731289367086818,0.6731289367086818,
